sample	group
Intensity-S4-E9_1_2682	15
Intensity-S4-F10_1_2696	16
Intensity-S4-F12_1_2698	16
Intensity-S4-F2_1_2687	16
Intensity-S4-F3_1_2688	16
Intensity-S4-F4_1_2689	16
Intensity-S4-F5_1_2691	16
Intensity-S4-F6_1_2692	16
Intensity-S4-F7_1_2693	16
Intensity-S4-F8_1_2694	16
Intensity-S4-F9_1_2695	16
Intensity-S4-G10_1_2709	17
Intensity-S4-G11_1_2710	17
Intensity-S4-G12_1_2711	17
Intensity-S4-G1_1_2699	17
Intensity-S4-G2_1_2700	17
Intensity-S4-G3_1_2702	17
Intensity-S4-G4_1_2703	17
Intensity-S4-G5_1_2704	17
Intensity-S4-G6_1_2705	17
Intensity-S4-G7_1_2706	17
Intensity-S4-G8_1_2707	17
Intensity-S4-G9_1_2708	17
Intensity-S4-H10_1_2722	18
Intensity-S4-H1_1_2713	18
Intensity-S4-H2_1_2714	18
Intensity-S4-H3_1_2715	18
Intensity-S4-H4_1_2716	18
Intensity-S4-H5_1_2717	18
Intensity-S4-H6_1_2718	18
Intensity-S4-H7_1_2719	18
Intensity-S4-H8_1_2720	18
Intensity-S4-H9_1_2721	18
